07299;260;8.2;47.614333,7.51
07607;90;2.1;43.909833,-0.500167
07027;230;2.6;49.18,-0.456167
07255;80;4.1;47.059167,2.359833
07510;160;4.1;44.830667,-0.691333
07222;60;4.6;47.15,-1.608833
07299;280;2.6;47.614333,7.51
07630;310;6.7;43.621,1.378833
07747;310;8.7;42.737167,2.872833
07790;330;3.6;42.540667,9.485167
07207;100;4.1;47.294333,-3.218333
07280;240;1.0;47.267833,5.088333
07335;220;6.2;46.593833,0.314333
07607;280;1.5;43.909833,-0.500167
07005;80;1.5;50.136,1.834
07207;90;5.7;47.294333,-3.218333
07255;200;4.1;47.059167,2.359833
07790;150;1.5;42.540667,9.485167
07299;140;5.1;47.614333,7.51
07510;240;10.3;44.830667,-0.691333
07207;290;9.8;47.294333,-3.218333
07790;230;2.1;42.540667,9.485167
07130;280;8.7;48.068833,-1.734
07240;250;10.8;47.4445,0.727333
07643;300;7.2;43.577,3.963167
07434;260;2.6;45.861167,1.175
07471;270;5.7;45.0745,3.764
07222;230;8.7;47.15,-1.608833
07661;140;6.2;43.079333,5.940833
07190;190;4.6;48.5495,7.640333
07621;80;1.0;43.188,0.0
07577;150;0.5;44.581167,4.733
07314;160;6.7;46.046833,-1.4115
07481;160;3.1;45.7265,5.077833
07027;170;3.6;49.18,-0.456167
07207;220;10.8;47.294333,-3.218333
07510;240;6.7;44.830667,-0.691333
07630;300;7.2;43.621,1.378833
07027;170;10.8;49.18,-0.456167
07181;200;5.7;48.581,5.959833
07222;230;5.7;47.15,-1.608833
07650;0;0.0;43.437667,5.216
07139;160;4.1;48.4455,0.110167
07335;170;5.1;46.593833,0.314333
07471;150;6.2;45.0745,3.764
07130;200;9.8;48.068833,-1.734
07015;160;5.7;50.57,3.0975
07790;30;1.5;42.540667,9.485167
07117;230;6.2;48.825833,-3.473167
07434;230;4.6;45.861167,1.175
07790;250;0.5;42.540667,9.485167
07020;280;13.9;49.725167,-1.939833
07535;230;3.1;44.745,1.396667
07027;270;12.3;49.18,-0.456167
07690;280;11.8;43.648833,7.209
07577;330;2.1;44.581167,4.733
07481;160;2.6;45.7265,5.077833
07037;170;5.1;49.383,1.181667
07661;30;1.0;43.079333,5.940833
07130;180;7.2;48.068833,-1.734
07139;160;3.1;48.4455,0.110167
07015;200;7.7;50.57,3.0975
07460;170;8.2;45.786833,3.149333
07005;210;9.3;50.136,1.834
07110;20;3.1;48.444167,-4.412
07434;220;9.8;45.861167,1.175
07607;190;1.5;43.909833,-0.500167
07130;210;2.6;48.068833,-1.734
07747;270;1.5;42.737167,2.872833
07240;200;5.7;47.4445,0.727333
07207;220;8.2;47.294333,-3.218333
07607;200;1.0;43.909833,-0.500167
07139;230;6.2;48.4455,0.110167
07181;60;4.1;48.581,5.959833
07280;10;5.1;47.267833,5.088333
07481;50;0.5;45.7265,5.077833
07510;10;4.6;44.830667,-0.691333
07577;30;2.1;44.581167,4.733
07690;330;4.6;43.648833,7.209
07037;20;4.1;49.383,1.181667
07299;350;1.5;47.614333,7.51
07621;200;1.0;43.188,0.0
07005;20;6.2;50.136,1.834
07335;40;5.7;46.593833,0.314333
07015;40;8.2;50.57,3.0975
07510;350;2.6;44.830667,-0.691333
07117;60;6.7;48.825833,-3.473167
07577;10;4.6;44.581167,4.733
07005;10;8.7;50.136,1.834
07535;360;1.0;44.745,1.396667
07558;140;3.1;44.1185,3.0195
07335;250;3.1;46.593833,0.314333
07130;340;7.7;48.068833,-1.734
07591;120;1.0;44.565667,6.502333
07643;10;3.6;43.577,3.963167
07117;350;5.1;48.825833,-3.473167
07139;310;3.1;48.4455,0.110167
07255;270;3.1;47.059167,2.359833
07690;320;3.6;43.648833,7.209
07299;250;1.5;47.614333,7.51
07510;230;2.6;44.830667,-0.691333
07621;200;1.5;43.188,0.0
07168;290;3.1;48.324667,4.02
07314;10;2.6;46.046833,-1.4115
07535;290;1.5;44.745,1.396667
07558;340;6.7;44.1185,3.0195
07222;50;5.7;47.15,-1.608833
07005;20;6.7;50.136,1.834
07471;50;2.1;45.0745,3.764
07510;360;6.2;44.830667,-0.691333
07335;30;4.6;46.593833,0.314333
07181;50;3.1;48.581,5.959833
07607;0;0.0;43.909833,-0.500167
07627;320;0.5;43.005333,1.106833
07690;70;9.8;43.648833,7.209
07607;30;2.6;43.909833,-0.500167
07607;320;3.1;43.909833,-0.500167
07117;70;11.3;48.825833,-3.473167
07558;30;8.7;44.1185,3.0195
07661;90;6.2;43.079333,5.940833
07037;40;4.6;49.383,1.181667
07335;40;6.2;46.593833,0.314333
07434;50;3.6;45.861167,1.175
07630;310;3.6;43.621,1.378833
07335;40;7.2;46.593833,0.314333
07190;40;3.1;48.5495,7.640333
07280;30;6.7;47.267833,5.088333
