ID OMM station;Date;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Coordonnees
07117;2010-02-25T19:00:00+01:00;230;6.2;48.825833,-3.473167            
07434;2010-02-25T19:00:00+01:00;230;4.6;45.861167,1.175            
07790;2010-02-25T22:00:00+01:00;250;0.5;42.540667,9.485167            
61972;2010-02-26T01:00:00+01:00;160;2.1;-22.344167,40.340667            
67005;2010-02-26T04:00:00+01:00;0;0.0;-12.8055,45.282833            
67005;2010-02-26T07:00:00+01:00;160;3.1;-12.8055,45.282833            
78897;2010-02-26T07:00:00+01:00;0;0.0;16.264,-61.516333            
07020;2010-02-26T10:00:00+01:00;280;13.9;49.725167,-1.939833            
07535;2010-02-26T10:00:00+01:00;230;3.1;44.745,1.396667            
07027;2010-02-26T13:00:00+01:00;270;12.3;49.18,-0.456167            
07690;2010-02-26T13:00:00+01:00;280;11.8;43.648833,7.209            
71805;2010-02-26T19:00:00+01:00;100;10.8;46.766333,-56.179167            
07577;2010-02-26T22:00:00+01:00;330;2.1;44.581167,4.733            
81408;2010-02-26T22:00:00+01:00;40;2.1;3.890667,-51.804667            
07481;2010-02-27T01:00:00+01:00;160;2.6;45.7265,5.077833            
61997;2010-02-27T04:00:00+01:00;310;15.9;-46.4325,51.856667            
07037;2010-02-27T07:00:00+01:00;170;5.1;49.383,1.181667            
07661;2010-02-27T07:00:00+01:00;30;1.0;43.079333,5.940833            
07130;2010-02-27T10:00:00+01:00;180;7.2;48.068833,-1.734            
07139;2010-02-27T10:00:00+01:00;160;3.1;48.4455,0.110167            
78897;2010-02-27T10:00:00+01:00;0;0.0;16.264,-61.516333            
07015;2010-02-27T16:00:00+01:00;200;7.7;50.57,3.0975            
07460;2010-02-27T19:00:00+01:00;170;8.2;45.786833,3.149333            
67005;2010-02-27T19:00:00+01:00;140;2.1;-12.8055,45.282833            
61980;2010-02-22T13:00:00+01:00;80;3.1;-20.8925,55.528667            
