07299;47.614333,7.51;263
07621;43.188,0.0;360
07005;50.136,1.834;69
07335;46.593833,0.314333;123
07015;50.57,3.0975;47
07510;44.830667,-0.691333;47
07117;48.825833,-3.473167;55
07577;44.581167,4.733;73
07005;50.136,1.834;69
07535;44.745,1.396667;260
07558;44.1185,3.0195;712
07335;46.593833,0.314333;123
07130;48.068833,-1.734;36
07591;44.565667,6.502333;871
07643;43.577,3.963167;2
07117;48.825833,-3.473167;55
07139;48.4455,0.110167;143
07255;47.059167,2.359833;161
07690;43.648833,7.209;2
07299;47.614333,7.51;263
07510;44.830667,-0.691333;47
07621;43.188,0.0;360
07168;48.324667,4.02;112
07314;46.046833,-1.4115;11
07535;44.745,1.396667;260
07558;44.1185,3.0195;712
07222;47.15,-1.608833;26
07005;50.136,1.834;69
07471;45.0745,3.764;833
07510;44.830667,-0.691333;47
07335;46.593833,0.314333;123
07181;48.581,5.959833;336
07607;43.909833,-0.500167;59
07627;43.005333,1.106833;414
07690;43.648833,7.209;2
07607;43.909833,-0.500167;59
07607;43.909833,-0.500167;59
07117;48.825833,-3.473167;55
07558;44.1185,3.0195;712
07661;43.079333,5.940833;115
07037;49.383,1.181667;151
07335;46.593833,0.314333;123
07434;45.861167,1.175;402
07630;43.621,1.378833;151
07335;46.593833,0.314333;123
07190;48.5495,7.640333;150
